[2013-01-16 14:40:20,699]DEBUG   811[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{TJ}
[2013-01-16 14:40:20,700]DEBUG   812[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSFloat{-306.591}
[2013-01-16 14:40:20,701]DEBUG   813[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSInt{-12}
[2013-01-16 14:40:20,701]DEBUG   813[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{Td}
[2013-01-16 14:40:20,701]DEBUG   813[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSArray{[COSString{ }, COSFloat{-3.57317}, COSString{ }, COSFloat{-3.57322}, COSString{2}, COSFloat{-3.57322}, COSString{6}, COSFloat{-3.57322}, COSString{ }, COSFloat{-3.57322}, COSString{ }, COSFloat{-3.57303}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{3}, COSFloat{-3.5734}, COSString{2}, COSFloat{-3.5734}, COSString{3}, COSFloat{-3.57266}, COSString{7}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{8}, COSFloat{-3.57193}, COSString{.}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{8}, COSFloat{-3.5734}, COSString{.}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{E}, COSFloat{-3.5734}, COSString{A}, COSFloat{-3.5734}, COSString{C}, COSFloat{-3.5734}, COSString{H}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{_}, COSFloat{-3.5734}, COSString{_}, COSFloat{-3.5734}, COSString{_}, COSFloat{-3.5734}, COSString{O}, COSFloat{-3.5734}, COSString{S}, COSFloat{-3.57193}, COSString{T}, COSFloat{-3.57193}, COSString{R}, COSFloat{-3.57193}, COSString{I}, COSFloat{-3.57193}, COSString{C}, COSFloat{-3.57193}, COSString{H}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{G}, COSFloat{-3.57193}, COSString{R}, COSFloat{-3.57193}, COSString{O}, COSFloat{-3.57193}, COSString{U}]}
[2013-01-16 14:40:20,701]DEBUG   813[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{TJ}
[2013-01-16 14:40:20,703]DEBUG   815[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSFloat{306.591}
[2013-01-16 14:40:20,703]DEBUG   815[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSInt{0}
[2013-01-16 14:40:20,703]DEBUG   815[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{Td}
[2013-01-16 14:40:20,704]DEBUG   816[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSArray{[COSString{N}, COSFloat{-3.57193}, COSString{D}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{1}, COSFloat{-3.57193}, COSString{#}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{8}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{8}, COSFloat{-3.57193}, COSString{.}, COSFloat{-3.57193}, COSString{8}, COSFloat{-3.57193}, COSString{8}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{7}, COSFloat{-3.57193}, COSString{1}, COSFloat{-3.57193}, COSString{.}, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{4}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{600.001}]}
[2013-01-16 14:40:20,704]DEBUG   816[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{TJ}
[2013-01-16 14:40:20,705]DEBUG   817[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSFloat{-306.591}
[2013-01-16 14:40:20,705]DEBUG   817[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSInt{-12}
[2013-01-16 14:40:20,705]DEBUG   817[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{Td}
[2013-01-16 14:40:20,706]DEBUG   818[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSArray{[COSString{ }, COSFloat{-3.57317}, COSString{ }, COSFloat{-3.57322}, COSString{2}, COSFloat{-3.57322}, COSString{7}, COSFloat{-3.57322}, COSString{ }, COSFloat{-3.57322}, COSString{ }, COSFloat{-3.57303}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{6}, COSFloat{-3.5734}, COSString{1}, COSFloat{-3.5734}, COSString{3}, COSFloat{-3.57266}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{4}, COSFloat{-3.57193}, COSString{.}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{4}, COSFloat{-3.5734}, COSString{.}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{P}, COSFloat{-3.5734}, COSString{C}, COSFloat{-3.5734}, COSString{.}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{_}, COSFloat{-3.5734}, COSString{_}, COSFloat{-3.5734}, COSString{_}, COSFloat{-3.5734}, COSString{C}, COSFloat{-3.5734}, COSString{H}, COSFloat{-3.57193}, COSString{I}, COSFloat{-3.57193}, COSString{C}, COSFloat{-3.57193}, COSString{K}, COSFloat{-3.57193}, COSString{E}, COSFloat{-3.57193}, COSString{N}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{B}, COSFloat{-3.57193}, COSString{R}, COSFloat{-3.57193}, COSString{E}, COSFloat{-3.57193}, COSString{A}]}
[2013-01-16 14:40:20,706]DEBUG   818[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{TJ}
[2013-01-16 14:40:20,707]DEBUG   819[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSFloat{306.591}
[2013-01-16 14:40:20,708]DEBUG   820[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSInt{0}
[2013-01-16 14:40:20,708]DEBUG   820[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{Td}
[2013-01-16 14:40:20,708]DEBUG   820[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSArray{[COSString{S}, COSFloat{-3.57193}, COSString{T}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{C}, COSFloat{-3.57193}, COSString{U}, COSFloat{-3.57193}, COSString{T}, COSFloat{-3.57193}, COSString{L}, COSFloat{-3.57193}, COSString{E}, COSFloat{-3.57193}, COSString{T}, COSFloat{-3.57193}, COSString{S}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{-}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{1}, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{#}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{B}, COSFloat{-3.57193}, COSString{A}, COSFloat{-3.57193}, COSString{G}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{4}, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{.}, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{-}, COSFloat{-3.57193}, COSString{2}, COSFloat{-3.57193}, COSString{.}, COSFloat{-3.57193}, COSString{5}, COSFloat{-3.57193}, COSString{4}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{-}, COSFloat{-3.57193}, COSString{1}, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{1}, COSFloat{-3.57193}, COSString{.}, COSFloat{-3.57193}, COSString{6}, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{600.001}]}
[2013-01-16 14:40:20,708]DEBUG   820[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{TJ}
[2013-01-16 14:40:20,709]DEBUG   821[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSFloat{-306.591}
[2013-01-16 14:40:20,709]DEBUG   821[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSInt{-12}
[2013-01-16 14:40:20,709]DEBUG   821[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{Td}
[2013-01-16 14:40:20,710]DEBUG   822[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSArray{[COSString{ }, COSFloat{-3.57317}, COSString{ }, COSFloat{-3.57322}, COSString{2}, COSFloat{-3.57322}, COSString{8}, COSFloat{-3.57322}, COSString{ }, COSFloat{-3.57322}, COSString{ }, COSFloat{-3.57303}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{8}, COSFloat{-3.5734}, COSString{3}, COSFloat{-3.5734}, COSString{3}, COSFloat{-3.57266}, COSString{8}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{1}, COSFloat{-3.57193}, COSString{.}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{1}, COSFloat{-3.5734}, COSString{.}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{0}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{E}, COSFloat{-3.5734}, COSString{A}, COSFloat{-3.5734}, COSString{C}, COSFloat{-3.5734}, COSString{H}, COSFloat{-3.5734}, COSString{ }, COSFloat{-3.5734}, COSString{_}, COSFloat{-3.5734}, COSString{_}, COSFloat{-3.5734}, COSString{_}, COSFloat{-3.5734}, COSString{O}, COSFloat{-3.5734}, COSString{M}, COSFloat{-3.57193}, COSString{A}, COSFloat{-3.57193}, COSString{'}, COSFloat{-3.57193}, COSString{S}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{I}, COSFloat{-3.57193}, COSString{N}, COSFloat{-3.57193}, COSString{F}, COSFloat{-3.57193}, COSString{O}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{P}]}
[2013-01-16 14:40:20,711]DEBUG   823[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{TJ}
[2013-01-16 14:40:20,713]DEBUG   825[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSFloat{306.591}
[2013-01-16 14:40:20,713]DEBUG   825[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSInt{0}
[2013-01-16 14:40:20,713]DEBUG   825[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{Td}
[2013-01-16 14:40:20,713]DEBUG   825[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSArray{[COSString{A}, COSFloat{-3.57193}, COSString{C}, COSFloat{-3.57193}, COSString{K}, COSFloat{-3.57193}, COSString{E}, COSFloat{-3.57193}, COSString{T}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{1}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{N}, COSFloat{-3.57193}, COSString{/}, COSFloat{-3.57193}, COSString{C}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{.}, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{0}, COSFloat{-3.57193}, COSString{ }, COSFloat{-3.57193}, COSString{ }, COSFloat{600.001}]}
[2013-01-16 14:40:20,713]DEBUG   825[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: PDFOperator{TJ}
[2013-01-16 14:40:20,715]DEBUG   827[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSFloat{-306.591}
[2013-01-16 14:40:20,715]DEBUG   827[main] - org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDFStreamEngine.java:262) - processing substream token: COSInt{-12}
